Year,Races,Number_thousands,Total,"Under_15,000","15,000_to_24,999","25,000_to_34,999","35,000_to_49,999","50,000_to_74,999","75,000_to_99,999","100,000_to_149,999","150,000_to_199,999","200,000_and_over",Median_income,Margin_of_error_for_median,Mean_income,Margin_of_error_for_mean
2007,Hispanic ,13339,100,11.2,11.2,11.9,15.6,18.5,12.8,11.8,4,3,50666,1121,66580,1153
2006,Hispanic ,12973,100,11.4,10.8,11.4,15.9,19.2,11.6,11.9,4.3,3.4,50893,1119,68128,1285
2005,Hispanic ,12519,100,11.5,10.5,13,15.3,19.3,12,11.2,4,3.2,50020,817,65556,1084
2004,Hispanic ,12178,100,11.8,11,12.4,15.3,20,11.1,11.2,4,3,49276,1135,65964,1327
2003,Hispanic ,11693,100,11.4,11.3,11.7,16.7,19.1,11.3,11.7,3.6,3.3,48726,1115,65665,1195
2002,Hispanic ,11339,100,10.9,11.3,11.6,16.2,18.3,12.9,11.5,4.2,3,49993,1197,67789,1491
2001,Hispanic ,10499,100,10.4,12,10.7,15.6,19.6,12.1,12.2,4.2,3.1,51490,1075,68085,1416
2000,Hispanic ,10034,100,10.2,11.1,11.6,15.2,19.7,13,12.5,3.7,3.2,52329,1241,69384,1643
1999,Hispanic ,9579,100,10.6,12.1,11.4,16.4,18.8,11.9,12.1,3.8,3,50154,1199,65886,1924
1998,Hispanic ,9060,100,13.7,13,11.1,15.6,18.2,11.8,10.3,3.7,2.7,47197,1496,63773,2231
1997,Hispanic ,8590,100,14.5,12.7,12.3,15.1,19,11.3,9.6,3.2,2.4,44962,1319,60590,2011
1996,Hispanic ,8225,100,14.7,13.7,13.3,15.1,18.2,10.4,9.7,2.6,2.3,42964,1371,58660,2233
1995,Hispanic ,7939,100,16.3,14.1,12.9,15.9,17.6,10,8.8,2.7,1.6,40484,1451,55256,2039
1994,Hispanic ,7735,100,16.3,13.9,12,15.6,18,10,9.3,2.9,2,42477,1298,57278,2351
1993,Hispanic ,7362,100,15.1,14.4,12.1,16.5,18.8,9.5,9.5,2.5,1.7,42374,1401,56084,1940
1992,Hispanic ,7153,100,15.1,14.1,12.4,15.8,18.8,10.6,9.1,2.7,1.4,42893,1458,54710,1415
1991,Hispanic ,6379,100,14.4,13.7,11.6,16.2,18.7,11.5,9.1,2.8,1.9,44143,1510,56167,1478
1990,Hispanic ,6220,100,14.2,13.9,11.5,15.4,20,11.4,9.2,2.6,1.8,45021,1519,56396,1529
1989,Hispanic ,5933,100,14.6,11.2,11.9,15.6,18.9,12.2,10.5,3.1,2,46376,1479,59220,1674
1988,Hispanic ,5910,100,15.2,12.5,12.3,14.9,18.8,12.2,9.4,2.5,2.1,44954,1874,57395,2001
1987,Hispanic ,5642,100,15.7,12.9,12.7,15.1,18.3,11.2,9.6,2.8,1.8,44238,1581,56707,1727
1986,Hispanic ,5418,100,15.5,13.4,12.2,15.7,18,11.5,9.8,2.8,1.1,43431,1861,54840,1483
1985,Hispanic ,5213,100,15.7,14.5,12.3,15.3,19.3,10.7,9.1,2.1,1,42055,1616,52549,1406
1984,Hispanic ,4883,100,16.6,14.1,11.7,14.7,20.3,10.9,8.6,2.1,1.1,42321,1745,52625,1688
1983,Hispanic ,4326,100,16.3,15,11.9,16.5,19.2,10.5,7.9,2.1,0.7,41265,1720,50249,1588
1982,Hispanic ,4085,100,15.9,15.4,12.2,16,19,10.8,8.4,1.2,1.1,41058,1784,50672,1691
1981,Hispanic ,3980,100,14.2,12.8,13.5,15.8,21.2,10.9,9.3,1.5,0.9,43887,1977,52702,1656
1980,Hispanic ,3906,100,14.6,13,13.7,16.3,19.3,12.1,8.3,1.8,0.9,42854,1911,52344,1714
1979,Hispanic ,3684,100,13,12.4,12.2,17.2,20.8,12.2,8.9,2.2,1,45527,2159,55085,1820
1978,Hispanic ,3291,100,12.6,12.8,12.8,18.1,20.5,12.7,8,1.7,0.8,45109,1798,53284,1773
1977,Hispanic ,3304,100,12.5,14.9,12.5,18.5,20.7,11.8,6.9,1.8,0.5,43482,1256,51315,1303
1976,Hispanic ,3081,100,14.7,14.2,13.6,17.2,20.3,11.6,6.2,1.7,0.4,41545,1457,49096,1314
1975,Hispanic ,2948,100,14.7,14.4,14.3,17.6,21.4,10.3,5.7,1,0.7,40704,1480,48321,1412
1974,Hispanic ,2897,100,11.9,14.2,13.5,18.2,22.1,11.3,6.9,1.3,0.7,44253,1594,51264,1373
1973,Hispanic ,2722,100,11.1,13.1,13.7,18.4,22.4,12.6,6.9,1.3,0.5,44513,1663,51717,1385
1972,Hispanic ,2655,100,10.8,14.7,13.3,19.6,23.7,10.1,6.1,1.1,0.8,44587,1433,51249,1433
